acc,tax_id,name,total_count,self_count
DRR152049,2501931,Orthocoronavirinae,1,0
DRR152049,694013,Gammacoronavirus,1,0
DRR152049,694014,Avian coronavirus,1,0
DRR152049,11120,Infectious bronchitis virus,1,1
DRR152052,2509487,Igacovirus,2,0
DRR152052,694014,Avian coronavirus,2,0
DRR152052,694013,Gammacoronavirus,2,0
DRR152052,2501931,Orthocoronavirinae,2,0
DRR152052,11120,Infectious bronchitis virus,2,2
DRR163499,2501931,Orthocoronavirinae,4,0
DRR163499,693997,Alphacoronavirus 1,4,0
DRR163499,2509514,Tegacovirus,4,0
DRR163499,693996,Alphacoronavirus,4,0
DRR163499,12663,Feline coronavirus,4,4
DRR165539,2501931,Orthocoronavirinae,2,0
DRR165539,694002,Betacoronavirus,2,0
DRR165539,2509511,Sarbecovirus,2,0
DRR165539,694009,Severe acute respiratory syndrome-related coronavirus,2,2
DRR165540,2509511,Sarbecovirus,4,0
DRR165540,2501931,Orthocoronavirinae,4,0
DRR165540,694002,Betacoronavirus,4,0
DRR165540,694009,Severe acute respiratory syndrome-related coronavirus,4,4
DRR165543,2501931,Orthocoronavirinae,1,0
DRR165543,694002,Betacoronavirus,1,0
DRR165543,2509511,Sarbecovirus,1,0
DRR165543,694009,Severe acute respiratory syndrome-related coronavirus,1,1
DRR165545,694002,Betacoronavirus,1,0
DRR165545,2501931,Orthocoronavirinae,1,0
DRR165545,2509494,Merbecovirus,1,0
DRR165545,1335626,Middle East respiratory syndrome-related coronavirus,1,1
DRR165546,2509494,Merbecovirus,1,0
DRR165546,694002,Betacoronavirus,1,0
DRR165546,2501931,Orthocoronavirinae,1,0
DRR165546,1335626,Middle East respiratory syndrome-related coronavirus,1,1
DRR165547,2509494,Merbecovirus,5,0
DRR165547,694002,Betacoronavirus,5,0
DRR165547,2501931,Orthocoronavirinae,5,0
DRR165547,1335626,Middle East respiratory syndrome-related coronavirus,5,5
DRR174661,693996,Alphacoronavirus,1,0
DRR174661,2501931,Orthocoronavirinae,1,0
DRR174661,2509505,Pedacovirus,1,0
DRR174661,28295,Porcine epidemic diarrhea virus,1,1
DRR174663,2501931,Orthocoronavirinae,3,0
DRR174663,693996,Alphacoronavirus,3,0
DRR174663,2509505,Pedacovirus,3,0
DRR174663,28295,Porcine epidemic diarrhea virus,3,3
DRR174666,693996,Alphacoronavirus,1,0
DRR174666,2509505,Pedacovirus,1,0
DRR174666,2501931,Orthocoronavirinae,1,0
DRR174666,28295,Porcine epidemic diarrhea virus,1,1
DRR174667,2509505,Pedacovirus,1,0
DRR174667,693996,Alphacoronavirus,1,0
DRR174667,2501931,Orthocoronavirinae,1,0
DRR174667,28295,Porcine epidemic diarrhea virus,1,1
DRR180602,2501931,Orthocoronavirinae,2,0
DRR180602,693996,Alphacoronavirus,2,0
DRR180602,2509505,Pedacovirus,2,0
DRR180602,28295,Porcine epidemic diarrhea virus,2,2
DRR181157,366617,unclassified Alphacoronavirus,1,0
DRR181157,2501931,Orthocoronavirinae,1,0
DRR181157,693996,Alphacoronavirus,1,0
DRR181157,996629,Bat coronavirus M.ful/Japan/02/2010,1,1
DRR181158,693996,Alphacoronavirus,2,0
DRR181158,366617,unclassified Alphacoronavirus,2,0
DRR181158,2501931,Orthocoronavirinae,2,0
DRR181158,996629,Bat coronavirus M.ful/Japan/02/2010,2,2
DRR181159,693996,Alphacoronavirus,2,0
DRR181159,2501931,Orthocoronavirinae,2,0
DRR181159,366617,unclassified Alphacoronavirus,2,0
DRR181159,996629,Bat coronavirus M.ful/Japan/02/2010,2,2
DRR181160,693996,Alphacoronavirus,2,0
DRR181160,366617,unclassified Alphacoronavirus,2,0
DRR181160,2501931,Orthocoronavirinae,2,0
DRR181160,996629,Bat coronavirus M.ful/Japan/02/2010,2,2
DRR181161,2501931,Orthocoronavirinae,3,0
DRR181161,366617,unclassified Alphacoronavirus,3,0
DRR181161,693996,Alphacoronavirus,3,0
DRR181161,996629,Bat coronavirus M.ful/Japan/02/2010,3,3
DRR181162,366617,unclassified Alphacoronavirus,1,0
DRR181162,2501931,Orthocoronavirinae,1,0
DRR181162,693996,Alphacoronavirus,1,0
DRR181162,996629,Bat coronavirus M.ful/Japan/02/2010,1,1
DRR183759,2501931,Orthocoronavirinae,2,0
DRR183759,2509505,Pedacovirus,2,0
DRR183759,693996,Alphacoronavirus,2,0
DRR183759,28295,Porcine epidemic diarrhea virus,2,2
DRR183760,693996,Alphacoronavirus,2,0
DRR183760,2509505,Pedacovirus,2,0
DRR183760,2501931,Orthocoronavirinae,2,0
DRR183760,28295,Porcine epidemic diarrhea virus,2,2
DRR187714,2501931,Orthocoronavirinae,1,0
DRR187714,693996,Alphacoronavirus,1,0
DRR187714,2509505,Pedacovirus,1,0
DRR187714,28295,Porcine epidemic diarrhea virus,1,1
DRR187715,2501931,Orthocoronavirinae,2,0
DRR187715,693996,Alphacoronavirus,2,0
DRR187715,2509505,Pedacovirus,2,0
DRR187715,28295,Porcine epidemic diarrhea virus,2,2
DRR187729,2501931,Orthocoronavirinae,2,0
DRR187729,2509505,Pedacovirus,2,0
DRR187729,693996,Alphacoronavirus,2,0
DRR187729,28295,Porcine epidemic diarrhea virus,2,2
DRR187730,693996,Alphacoronavirus,1,0
DRR187730,2509505,Pedacovirus,1,0
DRR187730,2501931,Orthocoronavirinae,1,0
DRR187730,28295,Porcine epidemic diarrhea virus,1,1
DRR198824,2509474,Buldecovirus,2,0
DRR198824,1159901,Deltacoronavirus,2,0
DRR198824,2501931,Orthocoronavirinae,2,0
DRR198824,1965089,Coronavirus HKU15,2,1
DRR198824,1159905,Porcine coronavirus HKU15,1,1
ERR016472,693996,Alphacoronavirus,2,0
ERR016472,2501931,Orthocoronavirinae,2,0
ERR016472,2509514,Tegacovirus,2,0
ERR016472,693997,Alphacoronavirus 1,2,2
ERR016474,2509514,Tegacovirus,1,0
ERR016474,2501931,Orthocoronavirinae,1,0
ERR016474,693996,Alphacoronavirus,1,0
ERR016474,693997,Alphacoronavirus 1,1,1
ERR016531,2501931,Orthocoronavirinae,27,0
ERR016531,2509514,Tegacovirus,27,0
ERR016531,693996,Alphacoronavirus,27,0
ERR016531,693997,Alphacoronavirus 1,27,12
ERR016531,11153,Canine coronavirus,13,13
ERR016531,11149,Transmissible gastroenteritis virus,2,2
ERR024102,2509514,Tegacovirus,27,0
ERR024102,2501931,Orthocoronavirinae,27,0
ERR024102,693996,Alphacoronavirus,27,0
ERR024102,693997,Alphacoronavirus 1,27,12
ERR024102,11153,Canine coronavirus,13,13
ERR024102,11149,Transmissible gastroenteritis virus,2,2
ERR024103,693996,Alphacoronavirus,79,0
ERR024103,2501931,Orthocoronavirinae,79,0
ERR024103,2509514,Tegacovirus,79,0
ERR024103,693997,Alphacoronavirus 1,79,28
ERR024103,11153,Canine coronavirus,50,50
ERR024103,11149,Transmissible gastroenteritis virus,1,1
ERR024895,2509511,Sarbecovirus,1,0
ERR024895,2501931,Orthocoronavirinae,1,0
ERR024895,694002,Betacoronavirus,1,0
ERR024895,694009,Severe acute respiratory syndrome-related coronavirus,1,1
ERR1022107,2501931,Orthocoronavirinae,2,0
ERR1022107,694002,Betacoronavirus,2,0
ERR1022107,2509511,Sarbecovirus,2,0
ERR1022107,694009,Severe acute respiratory syndrome-related coronavirus,2,2
ERR1041450,2501931,Orthocoronavirinae,1,0
ERR1041450,694002,Betacoronavirus,1,1
ERR1041571,2501931,Orthocoronavirinae,1,0
ERR1041571,694002,Betacoronavirus,1,1
ERR1041572,2501931,Orthocoronavirinae,1,0
ERR1041572,694002,Betacoronavirus,1,1
ERR1041574,2501931,Orthocoronavirinae,5,0
ERR1041574,694002,Betacoronavirus,5,5
ERR1041603,2501931,Orthocoronavirinae,2,0
ERR1041603,694002,Betacoronavirus,2,2
ERR1041802,2501931,Orthocoronavirinae,12,0
ERR1041802,694002,Betacoronavirus,12,12
ERR1041808,2501931,Orthocoronavirinae,8,0
ERR1041808,694002,Betacoronavirus,8,8
ERR1041810,2501931,Orthocoronavirinae,2,0
ERR1041810,694002,Betacoronavirus,2,2
ERR1041815,2501931,Orthocoronavirinae,3,0
ERR1041815,694002,Betacoronavirus,3,3
ERR1041816,2501931,Orthocoronavirinae,65,0
ERR1041816,694002,Betacoronavirus,65,65
ERR1041816,1986197,unclassified Coronaviridae,16,0
ERR1041816,2709072,Bat coronavirus RaTG13,16,16
ERR1041818,2501931,Orthocoronavirinae,11,0
ERR1041818,694002,Betacoronavirus,11,11
ERR1041820,2501931,Orthocoronavirinae,6,0
ERR1041820,694002,Betacoronavirus,6,6
ERR1041824,2501931,Orthocoronavirinae,1,0
ERR1041824,694002,Betacoronavirus,1,1
ERR1041825,2501931,Orthocoronavirinae,5,0
ERR1041825,694002,Betacoronavirus,5,5
ERR1041837,2501931,Orthocoronavirinae,3,0
ERR1041837,694002,Betacoronavirus,3,3
ERR1041838,2501931,Orthocoronavirinae,7,0
ERR1041838,694002,Betacoronavirus,7,7
ERR1041840,2501931,Orthocoronavirinae,2,0
ERR1041840,694002,Betacoronavirus,2,2
ERR1041841,2501931,Orthocoronavirinae,1,0
ERR1041841,694002,Betacoronavirus,1,1
ERR1041843,2501931,Orthocoronavirinae,2,0
ERR1041843,694002,Betacoronavirus,2,2
ERR1041844,2501931,Orthocoronavirinae,3,0
ERR1041844,694002,Betacoronavirus,3,3
ERR1041845,2501931,Orthocoronavirinae,1,0
ERR1041845,694002,Betacoronavirus,1,1
ERR1041863,2501931,Orthocoronavirinae,1,0
ERR1041863,694002,Betacoronavirus,1,1
ERR1041880,2501931,Orthocoronavirinae,12,0
ERR1041880,694002,Betacoronavirus,12,12
ERR1041885,2501931,Orthocoronavirinae,1,0
ERR1041885,694002,Betacoronavirus,1,1
ERR1041886,2501931,Orthocoronavirinae,1,0
ERR1041886,694002,Betacoronavirus,1,1
ERR1041901,694009,Severe acute respiratory syndrome-related coronavirus,1,0
ERR1041901,2509511,Sarbecovirus,1,0
ERR1041901,2501931,Orthocoronavirinae,1,0
ERR1041901,694002,Betacoronavirus,1,0
ERR1041901,698398,recombinant SARSr-CoV,1,1
ERR1041902,694009,Severe acute respiratory syndrome-related coronavirus,1,0
ERR1041902,694002,Betacoronavirus,1,0
ERR1041902,2509511,Sarbecovirus,1,0
ERR1041902,2501931,Orthocoronavirinae,1,0
ERR1041902,698398,recombinant SARSr-CoV,1,1
ERR1041986,2501931,Orthocoronavirinae,3,0
ERR1041986,694002,Betacoronavirus,3,3
ERR1041987,2501931,Orthocoronavirinae,1,0
ERR1041987,694002,Betacoronavirus,1,1
ERR1041989,2501931,Orthocoronavirinae,1,0
ERR1041989,694002,Betacoronavirus,1,1
ERR1042001,2501931,Orthocoronavirinae,2,0
ERR1042001,694002,Betacoronavirus,2,1
ERR1042001,2509511,Sarbecovirus,1,0
ERR1042001,694009,Severe acute respiratory syndrome-related coronavirus,1,1
ERR1042006,2501931,Orthocoronavirinae,2,0
ERR1042006,694002,Betacoronavirus,2,2
ERR1088673,2501931,Orthocoronavirinae,7,0
ERR1088673,694002,Betacoronavirus,7,3
ERR1088673,2509511,Sarbecovirus,4,0
ERR1088673,694009,Severe acute respiratory syndrome-related coronavirus,4,3
ERR1088673,698398,recombinant SARSr-CoV,1,0
ERR1088673,627440,SARS coronavirus ExoN1,1,1
ERR1091892,2501931,Orthocoronavirinae,15,0
ERR1091892,694002,Betacoronavirus,15,6
ERR1091892,2509511,Sarbecovirus,9,0
ERR1091892,694009,Severe acute respiratory syndrome-related coronavirus,9,9
ERR1091894,2501931,Orthocoronavirinae,1,0
ERR1091894,694002,Betacoronavirus,1,1
ERR1091897,2509511,Sarbecovirus,1,0
ERR1091897,2501931,Orthocoronavirinae,1,0
ERR1091897,694002,Betacoronavirus,1,0
ERR1091897,694009,Severe acute respiratory syndrome-related coronavirus,1,1
ERR1091898,2501931,Orthocoronavirinae,20,0
ERR1091898,694002,Betacoronavirus,20,7
ERR1091898,2509511,Sarbecovirus,13,0
ERR1091898,694009,Severe acute respiratory syndrome-related coronavirus,13,13
ERR1091899,2501931,Orthocoronavirinae,8,0
ERR1091899,694002,Betacoronavirus,8,4
ERR1091899,2509511,Sarbecovirus,4,0
ERR1091899,694009,Severe acute respiratory syndrome-related coronavirus,4,4
ERR1091905,2501931,Orthocoronavirinae,2,0
ERR1091905,694002,Betacoronavirus,2,2
ERR1091908,2501931,Orthocoronavirinae,7358,0
ERR1091908,694002,Betacoronavirus,7358,2503
ERR1091908,2509511,Sarbecovirus,4855,0
ERR1091908,694009,Severe acute respiratory syndrome-related coronavirus,4855,3994
ERR1091908,698398,recombinant SARSr-CoV,856,25
ERR1091908,627440,SARS coronavirus ExoN1,831,831
ERR1091908,1283332,Bat coronavirus Rp/Shaanxi2011,1,1
ERR1091908,249074,SARS coronavirus HZS2-D,1,1
ERR1091908,349344,Bat SARS CoV Rp3/2004,1,1
ERR1091908,237640,SARS coronavirus Taiwan TC2,1,1
ERR1091908,1508227,Bat SARS-like coronavirus,1,1
ERR1091909,2501931,Orthocoronavirinae,1242,0
ERR1091909,694002,Betacoronavirus,1242,421
ERR1091909,2509511,Sarbecovirus,821,0
ERR1091909,694009,Severe acute respiratory syndrome-related coronavirus,821,667
ERR1091909,698398,recombinant SARSr-CoV,153,3
ERR1091909,627440,SARS coronavirus ExoN1,150,150
ERR1091909,1508227,Bat SARS-like coronavirus,1,1
ERR1091910,2501931,Orthocoronavirinae,10031,1
ERR1091910,694002,Betacoronavirus,10030,3456
ERR1091910,2509511,Sarbecovirus,6573,0
ERR1091910,694009,Severe acute respiratory syndrome-related coronavirus,6573,5504
ERR1091910,698398,recombinant SARSr-CoV,1053,27
ERR1091910,627440,SARS coronavirus ExoN1,1026,1026
ERR1091910,349344,Bat SARS CoV Rp3/2004,3,3
ERR1091910,1508227,Bat SARS-like coronavirus,3,3
ERR1091910,229992,SARS coronavirus Frankfurt 1,2,2
ERR1091910,1503303,BtRs-BetaCoV/YN2013,2,2
ERR1091910,293933,SARS coronavirus GZ0402,2,2
ERR1091910,696098,unclassified Betacoronavirus,1,0
ERR1091910,249084,SARS coronavirus LC2,1,1
ERR1091910,2591234,Coronavirus BtRs-BetaCoV/YN2018A,1,1
ERR1091910,722424,SARS coronavirus Rs_672/2006,1,1
ERR1091910,442736,Bat SARS coronavirus HKU3,1,1
ERR1091910,1699361,Bat SARS-like coronavirus YNLF_34C,1,1
ERR1091911,2501931,Orthocoronavirinae,2203,0
ERR1091911,694002,Betacoronavirus,2203,742
ERR1091911,2509511,Sarbecovirus,1461,0
ERR1091911,694009,Severe acute respiratory syndrome-related coronavirus,1461,1193
ERR1091911,698398,recombinant SARSr-CoV,262,12
ERR1091911,627440,SARS coronavirus ExoN1,250,250
ERR1091911,349344,Bat SARS CoV Rp3/2004,3,3
ERR1091911,1508227,Bat SARS-like coronavirus,2,2
ERR1091911,1699361,Bat SARS-like coronavirus YNLF_34C,1,1
ERR1091912,2501931,Orthocoronavirinae,9,0
ERR1091912,694002,Betacoronavirus,9,6
ERR1091912,2509511,Sarbecovirus,3,0
ERR1091912,694009,Severe acute respiratory syndrome-related coronavirus,3,2
ERR1091912,698398,recombinant SARSr-CoV,1,0
ERR1091912,627440,SARS coronavirus ExoN1,1,1
ERR1091913,2509511,Sarbecovirus,2,0
ERR1091913,2501931,Orthocoronavirinae,2,0
ERR1091913,694002,Betacoronavirus,2,0
ERR1091913,694009,Severe acute respiratory syndrome-related coronavirus,2,2
ERR1091914,2501931,Orthocoronavirinae,7039,0
ERR1091914,694002,Betacoronavirus,7039,2646
ERR1091914,2509511,Sarbecovirus,4393,0
ERR1091914,694009,Severe acute respiratory syndrome-related coronavirus,4393,4346
ERR1091914,698398,recombinant SARSr-CoV,37,32
ERR1091914,698419,SARS coronavirus wtic-MB,4,4
ERR1091914,235173,SARS coronavirus Shanhgai LY,2,2
ERR1091914,1699360,Bat SARS-like coronavirus YNLF_31C,2,2
ERR1091914,1487703,Rhinolophus affinis coronavirus,1,1
ERR1091914,260069,SARS coronavirus HC/SZ/61/03,1,1
ERR1091914,1508227,Bat SARS-like coronavirus,1,1
ERR1091914,722424,SARS coronavirus Rs_672/2006,1,1
ERR1091914,511429,SARS coronavirus BJ182-12,1,1
ERR1091914,633140,SARS coronavirus MA15 ExoN1,1,1
ERR1091914,347537,Bat SARS CoV Rf1/2004,1,1
ERR1091915,2501931,Orthocoronavirinae,6,0
ERR1091915,694002,Betacoronavirus,6,4
ERR1091915,2509511,Sarbecovirus,2,0
ERR1091915,694009,Severe acute respiratory syndrome-related coronavirus,2,2
ERR1091916,2501931,Orthocoronavirinae,1380,0
ERR1091916,694002,Betacoronavirus,1380,529
ERR1091916,2509511,Sarbecovirus,851,0
ERR1091916,694009,Severe acute respiratory syndrome-related coronavirus,851,837
ERR1091916,698398,recombinant SARSr-CoV,12,12
ERR1091916,1508227,Bat SARS-like coronavirus,2,2
ERR1091917,2501931,Orthocoronavirinae,16,0
ERR1091917,694002,Betacoronavirus,16,9
ERR1091917,2509511,Sarbecovirus,7,0
ERR1091917,694009,Severe acute respiratory syndrome-related coronavirus,7,7
ERR1091921,2501931,Orthocoronavirinae,1,0
ERR1091921,694002,Betacoronavirus,1,1
ERR1091923,2501931,Orthocoronavirinae,2,0
ERR1091923,694002,Betacoronavirus,2,1
ERR1091923,2509511,Sarbecovirus,1,0
ERR1091923,694009,Severe acute respiratory syndrome-related coronavirus,1,1
ERR1091927,2501931,Orthocoronavirinae,13,0
ERR1091927,694002,Betacoronavirus,13,7
ERR1091927,2509511,Sarbecovirus,6,0
ERR1091927,694009,Severe acute respiratory syndrome-related coronavirus,6,4
ERR1091927,698398,recombinant SARSr-CoV,2,1
ERR1091927,627440,SARS coronavirus ExoN1,1,1
ERR1091935,2501931,Orthocoronavirinae,3,0
ERR1091935,694002,Betacoronavirus,3,1
ERR1091935,2509511,Sarbecovirus,2,0
ERR1091935,694009,Severe acute respiratory syndrome-related coronavirus,2,1
ERR1091935,698398,recombinant SARSr-CoV,1,0
ERR1091935,627440,SARS coronavirus ExoN1,1,1
ERR1091936,2501931,Orthocoronavirinae,1,0
ERR1091936,2509511,Sarbecovirus,1,0
ERR1091936,694002,Betacoronavirus,1,0
ERR1091936,694009,Severe acute respiratory syndrome-related coronavirus,1,1
ERR1091937,2501931,Orthocoronavirinae,10,0
ERR1091937,694002,Betacoronavirus,10,3
ERR1091937,2509511,Sarbecovirus,7,0
